"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,34100.00,137.00,32.00,0.00,0.00,1180.00,200.00,165.00,"Southwest Airlines Co.","WN","BWI","OKC",6,"619",1,2000,3,7,3,"F",
0.00,1.00,62160.00,168.00,166.00,370.00,3581.00,621.00,167.00,130.00,"United Air Lines Inc.","UA","BWI","ORD",6,"625",1,2000,3,7,2,"F",
0.00,3.00,91620.00,360.00,351.00,0.00,6.00,621.00,353.00,299.00,"United Air Lines Inc.","UA","BWI","ORD",6,"698",1,2000,3,7,2,"F",
0.00,1.00,27280.00,124.00,123.00,102.00,1855.00,90.00,40.00,24.00,"Continental Air Lines Inc.","CO","BWI","PHL",6,"619",1,2000,3,7,1,"F",
0.00,1.00,23765.00,104.00,91.00,383.00,1683.00,90.00,43.00,21.00,"Continental Air Lines Inc.","CO","BWI","PHL",6,"616",1,2000,3,7,1,"F",
0.00,31.00,1010600.00,5053.00,48.00,0.00,0.00,850.00,3720.00,3710.00,"North American Airlines","XG","BWI","PIE",6,"614",1,2000,3,7,2,"L",
0.00,1.00,33115.00,122.00,86.00,0.00,0.00,842.00,162.00,154.00,"Southwest Airlines Co.","WN","BWI","TPA",6,"616",1,2000,3,7,2,"F",
0.00,1.00,32700.00,128.00,30.00,600.00,0.00,69.00,30.00,25.00,"Delta Air Lines Inc.","DL","BZN","HLN",6,"619",1,2000,3,7,1,"F",
0.00,62.00,2362820.00,9176.00,8036.00,1526.00,0.00,874.00,8293.00,6957.00,"Northwest Airlines Inc.","NW","BZN","MSP",6,"694",1,2000,3,7,2,"F",
0.00,1.00,32700.00,128.00,127.00,0.00,0.00,347.00,66.00,52.00,"Delta Air Lines Inc.","DL","BZN","SLC",6,"619",1,2000,3,7,1,"F",
0.00,1.00,34800.00,142.00,131.00,0.00,0.00,63.00,133.00,93.00,"Delta Air Lines Inc.","DL","CAE","AGS",6,"655",1,2000,3,7,1,"F",
0.00,1.00,28545.00,107.00,82.00,0.00,0.00,191.00,61.00,40.00,"Delta Air Lines Inc.","DL","CAE","ATL",6,"620",1,2000,3,7,1,"F",
0.00,3.00,108500.00,447.00,427.00,309.00,159.00,191.00,203.00,135.00,"Delta Air Lines Inc.","DL","CAE","ATL",7,"715",1,2000,3,7,1,"F",
0.00,2.00,153450.00,390.00,363.00,30818.00,0.00,191.00,146.00,97.00,"Delta Air Lines Inc.","DL","CAE","ATL",6,"626",1,2000,3,7,1,"F",
0.00,1.00,39000.00,173.00,0.00,0.00,0.00,799.00,120.00,100.00,"Miami Air International","MMQ","CAE","BOS",7,"715",1,2000,3,7,2,"L",
0.00,1.00,35500.00,149.00,149.00,0.00,0.00,95.00,69.00,51.00,"Delta Air Lines Inc.","DL","CAE","CHS",7,"715",1,2000,3,7,1,"F",
0.00,1.00,12500.00,50.00,50.00,1600.00,0.00,343.00,149.00,132.00,"Comair Inc.","OH","CAE","LEX",6,"629",1,2000,3,7,1,"F",
0.00,1.00,51135.00,183.00,149.00,77.00,2000.00,617.00,113.00,93.00,"Delta Air Lines Inc.","DL","CAE","LGA",6,"622",1,2000,3,7,2,"F",
0.00,1.00,30000.00,0.00,0.00,6142.00,0.00,1175.00,164.00,150.00,"USA Jet Airlines Inc.","U7","CAE","LRD",6,"640",2,2000,3,7,3,"P",
0.00,31.00,1010600.00,5053.00,120.00,0.00,0.00,2083.00,9300.00,9280.00,"North American Airlines","XG","CAE","ONT",6,"614",1,2000,3,7,5,"L",
0.00,31.00,1333000.00,6665.00,157.00,0.00,0.00,2065.00,9300.00,9280.00,"North American Airlines","XG","CAE","VCV",6,"622",1,2000,3,7,5,"L",
0.00,2.00,21000.00,92.00,66.00,0.00,0.00,40.00,70.00,42.00,"ExpressJet Airlines Inc.","RU","CAK","CLE",4,"441",1,2000,3,7,1,"F",
0.00,1.00,28012.00,124.00,113.00,0.00,86.00,40.00,39.00,28.00,"Continental Air Lines Inc.","CO","CAK","CLE",6,"619",1,2000,3,7,1,"F",
0.00,3.00,49143.00,180.00,117.00,7029.00,8657.00,616.00,397.00,373.00,"Reeve Aleutian Airways Inc.","RV","CDB","ADK",5,"550",3,2000,3,7,2,"F",
0.00,10.00,194068.00,564.00,143.00,1664.00,3951.00,332.00,697.00,610.00,"Reeve Aleutian Airways Inc.","RV","CDB","AKN",5,"550",3,2000,3,7,1,"F",
0.00,5.00,110525.00,307.00,186.00,8861.00,7127.00,620.00,572.00,534.00,"Reeve Aleutian Airways Inc.","RV","CDB","ANC",5,"550",3,2000,3,7,2,"F",
0.00,23.00,631760.00,1656.00,1316.00,86779.00,6195.00,160.00,974.00,757.00,"Alaska Airlines Inc.","AS","CDV","ANC",6,"621",3,2000,3,7,1,"F",
0.00,5.00,176900.00,690.00,422.00,24538.00,1926.00,160.00,254.00,193.00,"Alaska Airlines Inc.","AS","CDV","ANC",6,"617",1,2000,3,7,1,"F",
0.00,4.00,142400.00,552.00,161.00,8052.00,7466.00,213.00,188.00,143.00,"Alaska Airlines Inc.","AS","CDV","YAK",6,"617",1,2000,3,7,1,"F",
0.00,23.00,635490.00,1656.00,796.00,69718.00,21805.00,213.00,1057.00,810.00,"Alaska Airlines Inc.","AS","CDV","YAK",6,"621",3,2000,3,7,1,"F",
0.00,1.00,34800.00,142.00,142.00,600.00,0.00,106.00,76.00,28.00,"Delta Air Lines Inc.","DL","CHA","ATL",6,"655",1,2000,3,7,1,"F",
0.00,1.00,38500.00,149.00,140.00,0.00,0.00,106.00,61.00,49.00,"Delta Air Lines Inc.","DL","CHA","ATL",7,"715",1,2000,3,7,1,"F",
0.00,1.00,12500.00,50.00,48.00,0.00,0.00,219.00,135.00,124.00,"Comair Inc.","OH","CHA","SDF",6,"629",1,2000,3,7,1,"F",
0.00,2.00,256088.00,672.00,626.00,0.00,0.00,3179.00,898.00,864.00,"World Airways Inc.","WO","CHP","JFK",7,"740",1,2000,3,7,7,"L",
0.00,1.00,22751.00,104.00,76.00,0.00,0.00,259.00,94.00,72.00,"Continental Air Lines Inc.","CO","CHS","ATL",6,"616",1,2000,3,7,1,"F",
0.00,1.00,37500.00,149.00,141.00,8.00,0.00,95.00,110.00,90.00,"Delta Air Lines Inc.","DL","CHS","CAE",7,"715",1,2000,3,7,1,"F",
0.00,1.00,36556.00,172.00,166.00,0.00,551.00,628.00,174.00,149.00,"Continental Air Lines Inc.","CO","CHS","EWR",6,"622",1,2000,3,7,2,"F",
0.00,31.00,1010600.00,5053.00,0.00,0.00,0.00,636.00,1860.00,1840.00,"North American Airlines","XG","CHS","JFK",6,"614",1,2000,3,7,2,"L",
0.00,1.00,38000.00,149.00,56.00,0.00,0.00,524.00,100.00,74.00,"Pan American Airways Corp.","PN","CHS","PIT",7,"715",1,2000,3,7,2,"F",
0.00,31.00,1010600.00,5053.00,126.00,0.00,0.00,2141.00,9300.00,9280.00,"North American Airlines","XG","CHS","VCV",6,"614",1,2000,3,7,5,"L",
0.00,31.00,1010600.00,5053.00,0.00,0.00,0.00,2141.00,9300.00,9280.00,"North American Airlines","XG","CHS","VCV",6,"614",1,2000,3,7,5,"L",
0.00,1.00,6313.00,30.00,22.00,750.00,0.00,419.00,95.00,80.00,"Comair Inc.","OH","CID","CVG",4,"461",1,2000,3,7,1,"F",
